name,HP,Str,Mag,Dex,Spd,Lck,Def,Res,Cha,Mov,tier
Holy Knight,2,1,1,2,1,0,0,4,0,2,Master
War Master,3,5,0,0,2,1,1,0,0,2,Master
Gremory,0,0,5,2,1,0,0,4,2,1,Master
Trickster,0,0,0,3,4,3,0,1,0,1,DLC Exclusive
War Monk/Cleric,3,2,0,1,0,0,1,1,0,2,DLC Exclusive
Dark Flier,0,0,0,3,2,0,0,3,0,1,DLC Exclusive
Valkyrie,1,0,4,0,0,0,0,1,2,0,DLC Exclusive
Death Knight,5,3,0,0,3,0,2,3,0,1,DLC Exclusive
Archbishop,1,2,2,2,0,2,2,2,2,1,NPC/Enemy
Death Knight,5,2,0,0,3,0,2,3,0,0,NPC/Enemy
Flame Emperor,5,0,0,0,-3,0,5,0,2,1,NPC/Enemy
Agastya,1,0,5,0,0,0,2,5,2,0,NPC/Enemy
King of Liberation,8,3,0,2,3,0,6,4,2,1,NPC/Enemy
Saint,1,5,2,2,0,2,5,2,2,1,NPC/Enemy
Verrat,0,0,3,1,1,0,1,4,0,0,NPC/Enemy
Black Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Wandering Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Wild Demonic Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Demonic Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Exp. Demonic Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Altered Demonic Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Giant Demonic Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Flying Demonic Beast,0,0,0,0,0,0,0,0,0,1,NPC/Enemy
Golem,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Altered Golem,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Titanus,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
White Beast,0,0,0,0,0,0,0,0,0,1,NPC/Enemy
The Immaculate One,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Lord of the Desert,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Lord of the Lake,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Giant Bird,0,0,0,0,0,0,0,0,0,2,NPC/Enemy
Giant Crawler,0,0,0,0,0,0,0,0,0,2,NPC/Enemy
Giant Wolf,0,0,0,0,0,0,0,0,0,2,NPC/Enemy
Hegemon Husk,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
King of Beasts,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
King of Fangs,0,0,0,0,0,0,0,0,0,2,NPC/Enemy
King of Wings,0,0,0,0,0,0,0,0,0,2,NPC/Enemy
Umbral Beast,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
Guardian Golem,0,0,0,0,0,0,0,0,0,0,NPC/Enemy
